005,256,224,V
100lions,640,480,H
10yard,256,224,H
10yard85,256,224,H
10yardj,256,224,H
11beat,640,240,H
1292apvs,177,270,H
1392apvs,177,270,H
18wheelr,640,480,H
18wheels,640,480,H
18wheelu,640,480,H
1941,384,224,V
1941j,384,224,V
1941r1,384,224,V
1941u,384,224,V
1942,256,224,V
1942a,256,224,V
1942abl,256,224,V
1942b,256,224,V
1942h,256,224,V
1942p,256,224,V
1942w,256,224,V
1943,256,224,V
1943b,256,224,V
1943b2,256,224,V
1943bj,256,224,V
1943j,256,224,V
1943ja,256,224,V
1943ja2,256,224,V
1943kai,256,224,V
1943mii,256,224,V
1943u,256,224,V
1943ua,256,224,V
1944,384,224,H
1944ad,384,224,H
1944d,384,224,H
1944j,384,224,H
1945kiii,320,224,V
1945kiiio,320,224,V
19in1,296,480,V
19xx,384,224,V
19xxa,384,224,V
19xxar1,384,224,V
19xxb,384,224,V
19xxd,384,224,V
19xxh,384,224,V
19xxj,384,224,V
19xxjr1,384,224,V
19xxjr2,384,224,V
1on1gov,640,480,H
2020bb,320,224,H
2020bba,320,224,H
2020bbh,320,224,H
20pacgal,288,224,V
20pacgala,288,224,V
20pacgalr0,288,224,V
20pacgalr1,288,224,V
20pacgalr2,288,224,V
20pacgalr3,288,224,V
20pacgalr4,288,224,V
25pacman,288,224,V
25pacmano,288,224,V
280zzzap,260,224,H
2mindril,320,224,H
32x,256,224,H
32xe,256,224,H
32xj,256,224,H
32x_mcd,256,224,H
32x_mcdj,256,224,H
32x_scd,256,224,H
386i,720,348,H
39in1,296,480,V
3b1,720,348,H
3bagflnz,304,216,H
3bagflvt,304,216,H
3countb,320,224,H
3countba,320,224,H
3do,1280,240,H
3dobios,1280,240,H
3do_m2,512,384,H
3do_pal,1280,240,H
3ds,256,224,H
3in1semi,256,224,H
3kokushi,320,240,H
3lilpigs,96,8,H
3on3dunk,320,224,H
3stooges,256,240,H
3stoogesa,256,240,H
3super8,512,256,H
3wishrd,256,256,H
3wonders,384,224,H
3wondersb,384,224,H
3wondersh,384,224,H
3wondersr1,384,224,H
3wondersu,384,224,H
3wonderu,384,224,H
3x3puzzl,320,240,H
3x3puzzla,320,240,H
40love,256,224,H
47pie2,320,224,H
47pie2o,320,224,H
48in1,296,480,V
48in1a,296,480,V
48in1b,296,480,V
4dwarrio,512,224,H
4enlinea,640,200,H
4enlinea_cga,640,200,H
4enraya,256,224,H
4enrayaa,256,224,H
4in1,256,224,V
4in1a,296,480,V
4in1b,296,480,V
4in1boot,256,224,H
4psimasy,640,240,H
4roses,384,232,H
4rosesa,384,232,H
5,256,224,V
500gp,640,480,H
50lionr,640,480,H
50lions,640,480,H
50lionsa,640,480,H
5acespkr,480,240,H
5clown,256,256,H
5clowna,256,256,H
5clownsp,256,256,H
5draga,640,480,H
5dragons,640,480,H
5koipp,640,480,H
600,768,224,V
60in1,296,480,V
64streej,256,224,H
64street,256,224,H
64streetj,256,224,H
64streetja,256,224,H
68ksbc,640,240,H
720,512,384,H
720g,512,384,H
720gr1,512,384,H
720r1,512,384,H
720r2,512,384,H
720r3,512,384,H
7jigen,508,240,H
7mezzo,256,232,H
7ordi,320,240,H
7smash,512,256,H
7toitsu,384,240,H
800fath,256,224,V
86lions,304,216,H
88games,320,224,H
8ball,240,248,V
8ball1,240,248,V
8ballact,256,224,V
8ballact2,256,224,V
8ballat2,256,224,V
8bpm,256,224,V
98best44,320,224,H
990189v,280,216,H
99bottles,640,480,H
99lstwar,288,224,V
99lstwara,288,224,V
99lstwark,288,224,V
99lstwra,288,224,V
9ballsh2,320,240,H
9ballsh3,320,240,H
9ballsht,320,240,H
9ballsht2,320,240,H
9ballsht3,320,240,H
9ballshtc,320,240,H
a1000,724,567,H
a1000n,724,483,H
a1200,724,567,H
a1200n,724,483,H
a1200xl,336,225,H
a130xe,336,225,H
a2000,724,567,H
a2000n,724,483,H
a2600,176,223,H
a2600p,176,259,H
a2ap16,720,350,H
a2ap16a,720,350,H
a2arcbd,280,216,H
a2ezcgi,280,216,H
a2ezcgi3,544,480,H
a2ezcgi5,544,480,H
a2ultrme,720,350,H
a2ulttrm,720,350,H
a2vidtrm,720,350,H
a2vtc1,720,350,H
a2vtc2,720,350,H
a3000,724,567,H
a3000n,724,483,H
a3010,1280,1024,H
a3020,1280,1024,H
a310,1280,1024,H
a400,336,225,H
a4000,724,567,H
a400030,724,567,H
a400030n,724,483,H
a4000n,724,483,H
a4000t,724,567,H
a4000tn,724,483,H
a400pal,336,225,H
a500,724,567,H
a500n,724,483,H
a500p,724,567,H
a500pn,724,483,H
a5105,320,200,H
a5120,640,480,H
a5130,640,480,H
a51mxr3k,360,240,H
a51site4,640,240,H
a51site4a,640,240,H
a5200,336,225,H
a600,724,567,H
a600n,724,483,H
a600xl,336,225,H
a65xe,336,225,H
a65xea,336,225,H
a6809,480,500,H
a7000,1900,1080,H
a7000p,1900,1080,H
a7150,640,480,H
a7800,320,224,H
a7800p,320,260,H
a800,336,225,H
